barcode,name,unit
4740076,สมุดวาดเขียนปกดำ KKP Mayflower M600 (6เล่ม/แพ็ค),แพ็ค
FAH64004002,เข็มถักโครเช2หัวสีทอง *12ช,กล่อง
4746718480,บิลเงินสด No.3 ชนิดคาร์บอนในตัว2ชั้น VSK*10เล่ม,แพ็ค
4746923158,แฟ้มกระดุม deli DL- F10432 A4(สีน้ำเงิน)12ชิ้น/แพ็ค,แพ็ค
FAH64003570,ปากกาไวท์บอร์ด โมนามิ จัมโบ้หัวตัด แดง *12ด,กล่อง
4548351063825,ปากกายูนิบอลซิกโนUMN-307 0.7ดำ *12ด,กล่อง
4746822060,ซองซิปตาข่าย 12x24ซม. คละสี (12ชิ้น/แพ็ค),แพ็ค
FAH64000260,กระดาษชาร์ทสีใหญ่คละสี (500แผ่น),รีม
4746718712,สติ๊กเกอร์ตีเส้น PVC คละสี CROCO 5มม.x9หลา*SKIN0509*12ม้วน,แพ็ค
47466016476,ลวดเย็บกระดาษ DoubleA No.10 (20กล่อง),กล่อง
4741350,กระดาษรายงานไม่มีเส้น/30ผ NW703 *12ห,แพ็ค
8801067402644,ปากกามาร์คเกอร์ สีแดง โมนามิ ซิกม่าโฟวล์ ลิควิด120 12ด้าม/กล่อง,กล่อง
6924853700747,ปากกาเจลกด0.5 น้ำเงิน Domi DM-911 *12ด,กล่อง
FAH64004014,ดินน้ำมัน หมีแพนด้า 90g. คละสี (24ก้อน/แพ็ค),แพ็ค
47466016640,แฟ้มซองกระดุม Elephant 425F น้ำเงิน (12ชิ้น/แพ็ค),แพ็ค
8851552201689,ปากกาเคมี2หัวตราม้า/สีเหลือง *12ด,กล่อง
47465013145,ป้ายชื่อพร้อมคลิปแนวตั้ง MT No.HK-A5 (100ชิ้น/กล่อง),กล่อง
47464011862,ปากกาควอนตั้มเจลลูลอยด์*สมูท0.5*คละสี*12ด.,กล่อง
4746617431,สก๊อตไบรต์ ฟองน้ำตาข่าย *12,แผง
47465014350,ปากกาลบคำผิด 3มล. No.VB275*12pc,แพ็ค
47465013933,เทปใส Louis ใหญ่ 24mm.x36y (6ม้วน/กล่อง),กล่อง
6947503710965,ปากกาหมึกเจลสีแดง GP-1111 *12,กล่อง
4741980,ปลอกสวมปากกา6ชิ้น sapphire *12พ,โหล
4741852,ไส้ดินสอ2B rotring *10ช,กล่อง
4746923249,แก้วพลาสติกมีหูคละสีA-02 1แพ็ค/12ชิ้น,แพ็ค
